Genome_Name	NCBI_ID	Environment	Oxygen_Tolerance	Pathogenicity	Latitude	Longitude
Aeromonas_hydrophila_hydrophila_ATCC_7966	380703	Human, Food	Facultative	Pathogen	NA	NA
Aeromonas_salmonicida_salmonicida_A449	382245	Non-Human	Facultative	Pathogen	NA	NA
Aeropyrum_pernix_K1	272557	Non-Human, Marine (Heterotroph)	Aerobe	NA	NA	NA
Aggregatibacter_actinomycetemcomitans_D11S_1	668336	Human, Oral (Other)	Facultative	Pathogen	NA	NA
Aggregatibacter_actinomycetemcomitans_D7S_1	694569	Human, Oral (Gingivae)	Facultative	Pathogen	NA	NA
Aggregatibacter_aphrophilus_NJ8700	634176	Human, Oral (Other)	Facultative	Non-Pathogen	NA	NA
Agreia_sp_PHSC20C1	312284	Non-Human, Marine (Other)	Aerobe	NA	-64.76667	-64.06667
Agrobacterium_radiobacter_K84	311403	Human	Aerobe	Pathogen	NA	NA
Agrobacterium_tumefaciens_C58_Cereon	176299	Non-Human	Aerobe	Pathogen	NA	NA
Agrobacterium_tumefaciens_C58_Dupont	176299	Non-Human	Aerobe	Pathogen	NA	NA
Agrobacterium_vitis_S4	311402	Non-Human	Aerobe	Pathogen	NA	NA
Akkermansia_muciniphila_ATCC_BAA_835	349741	Human, Gut	Anaerobe	NA	NA	NA
Alcanivorax_borkumensis_SK2	393595	Non-Human, Marine (Other)	Aerobe	Non-Pathogen	53.598161	6.702723
Alcanivorax_sp_DG881	236097	Non-Human, Marine (Heterotroph)	Aerobe	NA	-42.88667	147.78333
Algoriphagus_sp_PR1	388413	Non-Human, Marine (Heterotroph)	Aerobe	NA	NA	NA
Alicyclobacillus_acidocaldarius_LAA1	543302	Non-Human, Hydrothermal	Aerobe	NA	44.376262	-110.690383
Alicyclobacillus_acidocaldarius_acidocaldarius_104_IA_DSM_446	521098	Non-Human	Aerobe	NA	44.376	-110.69
Aliivibrio_salmonicida_LFI1238	316275	Non-Human	Facultative	Pathogen	70.662316	23.682752
Alistipes_putredinis_DSM_17216	445970	Human, Gut, Soil	Anaerobe	NA	NA	NA
Alkalilimnicola_ehrlichei_MLHE_1	187272	Non-Human	Anaerobe	Non-Pathogen	37.986853	-119.045711
Alkaliphilus_metalliredigens_QYMF	293826	Non-Human	Anaerobe	Non-Pathogen	NA	NA
Alkaliphilus_oremlandii_OhILAs	350688	Non-Human	Anaerobe	Non-Pathogen	NA	NA
Allochromatium_vinosum_DSM_180	572477	Non-Human	Anaerobe	NA	NA	NA
Alteromonas_macleodii_Deep_ecotype_DSM_17117	314275	Non-Human, Marine (Heterotroph)	Aerobe	NA	41.6	17.36889
Aminobacterium_colombiense_DSM_12261	572547	Non-Human	Obligate anaerobe	NA	4.63	-74.08
Ammonifex_degensii_KC4	429009	Non-Human, Hydrothermal	Anaerobe	NA	NA	NA
Anabaena_azollae_0708	551115	Non-Human	Aerobe	NA	NA	NA
Anabaena_variabilis_ATCC_29413	240292	Non-Human, Soil	Aerobe	NA	NA	NA
Anaerobaculum_hydrogeniformans_ATCC_BAA_1850	592015	Human, Gut, Oral (Other)	Obligate anaerobe	NA	NA	NA
Anaerococcus_hydrogenalis_DSM_7454	561177	Human, Gut	Anaerobe	NA	NA	NA
Anaerococcus_lactolyticus_ATCC_51172	525254	Human, Urogenital (Vaginal)	Anaerobe	NA	NA	NA
Anaerococcus_prevotii_PC_1_DSM_20548	525919	Human	Anaerobe	NA	NA	NA
Anaerococcus_tetradius_ATCC_35098	525255	Human, Urogenital (Vaginal)	Anaerobe	NA	NA	NA
Anaerococcus_vaginalis_ATCC_51170	655811	Human, Skin	Anaerobe	NA	NA	NA
Anaerofustis_stercorihominis_DSM_17244	445971	Human, Gut	Anaerobe	Non-Pathogen	34.052187	-118.243425
Anaeromyxobacter_dehalogenans_2CP_1	455488	Non-Human, Soil	Anaerobe	NA	42.733621	-84.546582
Anaeromyxobacter_dehalogenans_2CP_C	290397	Non-Human, Soil	Anaerobe	Non-Pathogen	NA	NA
Anaeromyxobacter_sp_Fw109_5	404589	Non-Human, Soil	Anaerobe	Non-Pathogen	NA	NA
Anaeromyxobacter_sp_K	447217	Non-Human, Soil	Anaerobe	NA	NA	NA
Anaerostipes_caccae_DSM_14662	411490	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Anaerotruncus_colihominis_DSM_17241	445972	Human, Gut	Anaerobe	NA	41.875156	-87.667984
Anaplasma_centrale_str_Israel	574556	Non-Human	Aerobe	Pathogen	NA	NA
Anaplasma_marginale_Florida	320483	Non-Human, Farm	Aerobe	Pathogen	NA	NA
Anaplasma_marginale_St_Maries	234826	Non-Human, Farm	Aerobe	Pathogen	NA	NA
Anaplasma_marginale_str_Mississippi	517436	Non-Human, Farm	Aerobe	Pathogen	NA	NA
Anaplasma_marginale_str_Puerto_Rico	517437	Human	Aerobe	Pathogen	NA	NA
Anaplasma_marginale_str_Virginia	403779	Human	Aerobe	Pathogen	NA	NA
Anaplasma_phagocytophilum_HZ	212042	Human	Aerobe	Pathogen	40.756054	-73.986951
Anoxybacillus_flavithermus_WK1	491915	Non-Human, Hydrothermal	Facultative	NA	-38.626686	176.103491
Aquifex_aeolicus_VF5	224324	Non-Human, Hydrothermal, Marine (Other)	Facultative	NA	NA	NA
Arcanobacterium_haemolyticum_DSM_20595	644284	Human, Oral (Other)	Anaerobe	NA	NA	NA
Archaeoglobus_fulgidus_DSM_4304	224325	Non-Human, Marine (Other)	Obligate anaerobe	Pathogen	NA	NA
Archaeoglobus_profundus_DSM_5631	572546	Non-Human, Marine (Other)	Anaerobe	NA	14.84	-17.23
Arcobacter_butzleri_RM4018	367737	Human, Marine (Other)	Aerobe	Pathogen	NA	NA
Arcobacter_nitrofigilis_DSM_7299	572480	Non-Human	Microaerophilic	NA	44.65	-63.6
Aromatoleum_aromaticum_EbN1	76114	Non-Human, Soil	Facultative	NA	NA	NA
Arthrobacter_aurescens_TC1	290340	Non-Human, Soil	Aerobe	Non-Pathogen	NA	NA
Arthrobacter_chlorophenolicus_A6	452863	Non-Human, Soil	Aerobe	NA	40.567095	-105.077036
Arthrobacter_sp_FB24	290399	Non-Human, Soil	Aerobe	Pathogen	NA	NA
Arthrospira_maxima_CS_328	513049	Non-Human	Facultative	NA	13.330266	14.100133
Arthrospira_platensis_str_Paraca	634502	Non-Human	Facultative	NA	NA	NA
Aster_yellows_witches_broom_phytoplasma_AYWB	322098	Non-Human	Aerobe	Pathogen	41	-82.4498
Asticcacaulis_excentricus_CB_48	573065	Non-Human	Aerobe	NA	NA	NA
Atopobium_parvulum_DSM_20469	521095	Human, Oral (Gingivae)	Obligate anaerobe	NA	NA	NA
Atopobium_rimae_ATCC_49626	553184	Human, Oral (Other)	Anaerobe	Pathogen	NA	NA
Atopobium_vaginae_DSM_15829	525256	Human, Urogenital (Vaginal)	Anaerobe	NA	NA	NA
Aurantimonas_sp_SI85_9A1	314269	Non-Human, Marine (Other)	Aerobe	Pathogen	48.9	-123.88333
Azoarcus_sp_BH72	62928	Non-Human, Soil	Facultative	Non-Pathogen	31.5841	72.6599
Azorhizobium_caulinodans_ORS_571	438753	Non-Human	NA	NA	NA	NA
Azospirillum_sp_B510	137722	Non-Human, Soil	Facultative	NA	NA	NA
Azotobacter_vinelandii_DJ_ATCC_BAA_1303	322710	Non-Human, Soil	Aerobe	NA	NA	NA
Bacillus_amyloliquefaciens_FZB42	326423	Non-Human, Soil	Aerobe	NA	NA	NA
Bacillus_anthracis_A0174	486622	Non-Human	Facultative	NA	NA	NA
Bacillus_anthracis_A0193	486619	Non-Human, Farm	Facultative	Pathogen	NA	NA
Bacillus_anthracis_A0248	592021	Human	Facultative	Pathogen	NA	NA
Bacillus_anthracis_A0389	486623	Non-Human	Facultative	Pathogen	-6.247447	107.148452
Bacillus_anthracis_A0442	486621	Human	Facultative	Pathogen	-23.821424	31.445618
Bacillus_anthracis_A0465	486620	Non-Human, Farm	Facultative	Pathogen	NA	NA
Bacillus_anthracis_A0488	486624	Non-Human, Farm	Facultative	Pathogen	NA	NA
Bacillus_anthracis_Ames	198094	Non-Human, Soil	Aerobe	Non-Pathogen	NA	NA
Bacillus_anthracis_Ames_Ancestor	261594	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_anthracis_CDC_684	568206	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_anthracis_Sterne	260799	Non-Human, Soil	Facultative	Non-Pathogen	51.372	-0.452
Bacillus_anthracis_Tsiankovskii_I	405536	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_anthracis_str_A1055	280355	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_anthracis_str_Australia_94	280477	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_anthracis_str_CNEVA_9066	280354	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_anthracis_str_Kruger_B	205919	Human, Soil	Aerobe	Pathogen	-23.821424	31.445618
Bacillus_anthracis_str_Vollum	261591	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_anthracis_str_Western_North_America_USA6153	212045	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cellulosilyticus_DSM_2522	649639	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_cereus_03BB102	572264	Human, Soil	Facultative	Pathogen	29.425037	-98.493722
Bacillus_cereus_03BB108	451709	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_172560W	526967	Human, Skin, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_95_8201	526979	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_AH1134	405533	Human, Soil	Facultative	Pathogen	35.493138	-97.45914
Bacillus_cereus_AH1271	526992	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_AH1272	526993	Human, Urogenital (Other), Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_AH1273	526994	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_AH187	405534	Human, Gut, Soil	Facultative	Pathogen	51.500152	-0.126236
Bacillus_cereus_AH603	526990	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_AH621	526972	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_AH676	526991	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_AH820	405535	Human, Oral (Other), Soil	Facultative	Pathogen	60.00002	11.36903
Bacillus_cereus_ATCC_10876	526980	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_ATCC_10987	222523	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_ATCC_14579	226900	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_ATCC_4342	526977	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_B4264	405532	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_BDRD_Cer4	526978	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_BDRD_ST196	526976	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_BDRD_ST24	526974	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_BDRD_ST26	526975	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_BGSC_6E1	526970	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_E33L	288681	Human, Soil	Facultative	Pathogen	-19.018917	16.346379
Bacillus_cereus_F65185	526989	Human, Soil	Aerobe	Pathogen	40.756054	-73.986951
Bacillus_cereus_G9241	269801	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_G9842	405531	Human, Gut, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_H3081_97	451708	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_MM3	526971	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_NVH0597_99	451707	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_Q1	361100	Non-Human, Soil	Facultative	Non-Pathogen	46.59019	125.104637
Bacillus_cereus_R309803	526968	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_Rock1_15	526982	Human, Soil	Aerobe	Pathogen	39.083916	-77.156823
Bacillus_cereus_Rock1_3	526981	Human, Soil	Aerobe	Pathogen	39.083916	-77.156823
Bacillus_cereus_Rock3_29	526984	Human, Soil	Aerobe	Pathogen	39.083916	-77.156823
Bacillus_cereus_Rock3_42	526985	Human, Soil	Aerobe	Pathogen	39.083916	-77.156823
Bacillus_cereus_Rock3_44	526986	Human, Soil	Aerobe	Pathogen	39.083916	-77.156823
Bacillus_cereus_Rock4_18	526988	Human, Soil	Aerobe	Pathogen	39.083916	-77.156823
Bacillus_cereus_Rock4_2	526987	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_W	405917	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_cytotoxis_NVH_391_98	315749	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_cereus_m1293	526973	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_cereus_mm1550	526969	Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_clausii_KSM_K16	66692	Non-Human, Soil	NA	NA	NA	NA
Bacillus_coagulans_36D1	345219	Non-Human, Soil	Facultative	NA	38.579	-122.58
Bacillus_coahuilensis_m4_4	441769	Non-Human	NA	NA	26.986559	-102.063686
Bacillus_halodurans_C_125	272558	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_licheniformis_ATCC_14580_Goettingen	279010	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_licheniformis_ATCC_14580_Novozymes	279010	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_megaterium_DSM319	592022	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_megaterium_QM_B1551	545693	Non-Human, Soil	Aerobe	NA	42.283783	-71.347275
Bacillus_mycoides_DSM_2048	526997	Non-Human, Soil	Aerobe	NA	NA	NA
Bacillus_mycoides_Rock1_4	526998	Non-Human, Soil	Aerobe	NA	NA	NA
Bacillus_mycoides_Rock3_17	526999	Non-Human, Soil	Aerobe	NA	NA	NA
Bacillus_pseudofirmus_OF4	398511	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_pseudomycoides_DSM_12442	527000	Non-Human, Soil	Aerobe	NA	NA	NA
Bacillus_pumilus_ATCC_7061	536229	Non-Human, Soil	Aerobe	Non-Pathogen	NA	NA
Bacillus_pumilus_SAFR_032	315750	Non-Human, Soil	Aerobe	Pathogen	NA	NA
Bacillus_selenitireducens_MLS10	439292	Non-Human	Facultative	NA	37.986853	-119.045711
Bacillus_sp_B14905	388400	Non-Human, Marine (Other)	Aerobe	NA	NA	NA
Bacillus_sp_NRRL_B_14911	313627	Non-Human, Marine (Other)	NA	NA	26.35	-84.5
Bacillus_sp_SG_1	161544	Non-Human, Marine (Other)	NA	NA	NA	NA
Bacillus_subtilis_NCIB_3610	535026	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_subtilis_subsp_spizizenii_ATCC_6633	703612	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_subtilis_subsp_subtilis_str_168	224308	Non-Human, Soil	Facultative	NA	50.814788	8.769239
Bacillus_subtilis_subtilis_168	224308	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_subtilis_subtilis_JH642	535025	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_subtilis_subtilis_SMY	535024	Non-Human, Soil	Facultative	NA	NA	NA
Bacillus_thuringiensis_Al_Hakam	412694	Human, Skin, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_BMB171	714359	Non-Human	Microaerophilic	NA	NA	NA
Bacillus_thuringiensis_Bt407	527021	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_IBL200	527019	Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_IBL4222	527020	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_andalousiensis_BGSC_4AW1	527032	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_berliner_ATCC_10792	527031	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_huazhongensis_BGSC_4BD1	527030	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_israelensis_ATCC_35646	339854	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_konkukian_97_27	281309	Human, Skin, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_kurstaki_T03a001	527023	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_monterrey_BGSC_4AJ1	527022	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_pakistani_t13001	527027	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_pondicheriensis_BGSC_4BA1	527029	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_pulsiensis_BGSC_4CC1	527028	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_sotto_T04001	527026	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_thuringiensis_T01001	527025	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_thuringiensis_sv_tochigiensis_BGSC_4Y1	527024	Non-Human, Soil	Facultative	Pathogen	NA	NA
Bacillus_tusciae_DSM_2912	562970	Non-Human	Aerobe	NA	43.326	10.498
Bacillus_weihenstephanensis_KBAB4	315730	Non-Human, Soil	Facultative	Non-Pathogen	NA	NA
Bacteroides_caccae_ATCC_43185	411901	Human, Gut	Anaerobe	Pathogen	NA	NA
Bacteroides_cellulosilyticus_DSM_14838	537012	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_coprocola_M16_DSM_17136	470145	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_coprophilus_DSM_18228	547042	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_dorei_DSM_17855	483217	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bacteroides_eggerthii_DSM_20697	483216	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bacteroides_finegoldii_DSM_17565	483215	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bacteroides_fragilis_3_1_12	457424	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_fragilis_NCTC_9343	272559	Human, Gut	Obligate anaerobe	Pathogen	51.5849	-0.1272
Bacteroides_fragilis_YCH46	295405	Human, Gut	Obligate anaerobe	Pathogen	34.3039	131.4724
Bacteroides_intestinalis_341_DSM_17393	471870	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_ovatus_ATCC_8483	411476	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bacteroides_ovatus_SD_CC_2a	702444	Human, Gut	NA	NA	NA	NA
Bacteroides_ovatus_SD_CMC_3f	702443	Human, Gut	NA	NA	NA	NA
Bacteroides_plebeius_DSM_17135	484018	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bacteroides_sp_1_1_6	469586	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_2_1_16	469587	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_2_1_22	469588	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_2_1_33B	469589	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_2_2_4	469590	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_3_1_33FAA	457391	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_3_2_5	457392	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_4_3_47FAA	457394	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_9_1_42FAA	457395	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_D1	556258	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_D2	556259	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_D20	585543	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_sp_D4	556260	Human, Gut	Anaerobe	NA	NA	NA
Bacteroides_stercoris_ATCC_43183	449673	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bacteroides_thetaiotaomicron_VPI_5482	226186	Human, Gut	Obligate anaerobe	Pathogen	NA	NA
Bacteroides_uniformis_ATCC_8492	411479	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bacteroides_vulgatus_ATCC_8482	435590	Human, Gut	Anaerobe	Pathogen	NA	NA
Bacteroides_vulgatus_PC510	702446	Human, Gut	Anaerobe	Pathogen	NA	NA
Bacteroides_xylanisolvens_SD_CC_1b	702447	Human, Gut	Anaerobe	NA	NA	NA
Bartonella_bacilliformis_KC583	360095	Human	Aerobe	Pathogen	NA	NA
Bartonella_grahamii_as4aup	634504	Non-Human	Aerobe	Pathogen	NA	NA
Bartonella_henselae_Houston_1	283166	Human	Aerobe	Pathogen	29.777	-95.376
Bartonella_quintana_Toulouse	283165	Human, Gut	Aerobe	Pathogen	NA	NA
Bartonella_tribocorum_CIP_105476	382640	Non-Human	Aerobe	Pathogen	NA	NA
Basfia_succiniciproducens_MBEL55E	221988	Non-Human, Farm	Anaerobe	Non-Pathogen	NA	NA
Baumannia_cicadellinicola_Hc	374463	Non-Human	NA	Non-Pathogen	NA	NA
Bdellovibrio_bacteriovorus_HD100	264462	Non-Human, Soil	Aerobe	NA	NA	NA
